SpatialDimValueCode,Period,FactValueNumeric,indicator,value
LVA,2003,24.46,Gross National Income Per Capita (2017 PPP$),16517.177
LVA,2003,24.46,Human Development Index (value),0.795
LVA,2003,24.46,Life Expectancy at Birth (years),70.624
LVA,2003,24.46,Mean Years of Schooling (years),11.966
LVA,2004,22.05,Expected Years of Schooling (years),16.108
LVA,2004,22.05,Gross National Income Per Capita (2017 PPP$),17802.923
LVA,2004,22.05,Human Development Index (value),0.805
LVA,2004,22.05,Life Expectancy at Birth (years),70.925
LVA,2004,22.05,Mean Years of Schooling (years),12.131
LVA,2005,22.07,Expected Years of Schooling (years),16.405
LVA,2005,22.07,Gross National Income Per Capita (2017 PPP$),20129.361
LVA,2005,22.07,Human Development Index (value),0.815
LVA,2005,22.07,Life Expectancy at Birth (years),70.778
LVA,2005,22.07,Mean Years of Schooling (years),12.25
LVA,2006,19.09,Expected Years of Schooling (years),16.429
LVA,2006,19.09,Gross National Income Per Capita (2017 PPP$),22419.297
LVA,2006,19.09,Human Development Index (value),0.821
LVA,2006,19.09,Life Expectancy at Birth (years),70.877
LVA,2006,19.09,Mean Years of Schooling (years),12.297
LVA,2007,17.0,Expected Years of Schooling (years),16.327
LVA,2007,17.0,Gross National Income Per Capita (2017 PPP$),24708.201
LVA,2007,17.0,Human Development Index (value),0.825
LVA,2007,17.0,Life Expectancy at Birth (years),71.057
LVA,2007,17.0,Mean Years of Schooling (years),12.171
LVA,2008,21.66,Expected Years of Schooling (years),16.322
LVA,2008,21.66,Gross National Income Per Capita (2017 PPP$),24584.592
LVA,2008,21.66,Human Development Index (value),0.832
LVA,2008,21.66,Life Expectancy at Birth (years),72.036
LVA,2008,21.66,Mean Years of Schooling (years),12.351
LVA,2009,21.67,Expected Years of Schooling (years),15.938
LVA,2009,21.67,Gross National Income Per Capita (2017 PPP$),23219.158
LVA,2009,21.67,Human Development Index (value),0.831
LVA,2009,21.67,Life Expectancy at Birth (years),72.754
LVA,2009,21.67,Mean Years of Schooling (years),12.456
LVA,2010,18.59,Expected Years of Schooling (years),15.81
LVA,2010,18.59,Gross National Income Per Capita (2017 PPP$),21386.416
LVA,2010,18.59,Human Development Index (value),0.827
LVA,2010,18.59,Life Expectancy at Birth (years),72.954
LVA,2010,18.59,Mean Years of Schooling (years),12.565
LVA,2011,18.15,Expected Years of Schooling (years),15.796
LVA,2011,18.15,Gross National Income Per Capita (2017 PPP$),22094.594
LVA,2011,18.15,Human Development Index (value),0.833
LVA,2011,18.15,Life Expectancy at Birth (years),73.693
LVA,2011,18.15,Mean Years of Schooling (years),12.606
LVA,2012,19.39,Expected Years of Schooling (years),15.628
LVA,2012,19.39,Gross National Income Per Capita (2017 PPP$),23804.048
LVA,2012,19.39,Human Development Index (value),0.837
LVA,2012,19.39,Life Expectancy at Birth (years),73.745
LVA,2012,19.39,Mean Years of Schooling (years),12.704
LVA,2013,16.7,Expected Years of Schooling (years),16.08
LVA,2013,16.7,Gross National Income Per Capita (2017 PPP$),24660.775
LVA,2013,16.7,Human Development Index (value),0.846
LVA,2013,16.7,Life Expectancy at Birth (years),74.183
LVA,2013,16.7,Mean Years of Schooling (years),12.809
LVA,2014,17.18,Expected Years of Schooling (years),16.072
LVA,2014,17.18,Gross National Income Per Capita (2017 PPP$),25457.255
LVA,2014,17.18,Human Development Index (value),0.85
LVA,2014,17.18,Life Expectancy at Birth (years),74.432
LVA,2014,17.18,Mean Years of Schooling (years),12.857
LVA,2015,17.14,Expected Years of Schooling (years),16.094
LVA,2015,17.14,Gross National Income Per Capita (2017 PPP$),26505.449
LVA,2015,17.14,Human Development Index (value),0.853
LVA,2015,17.14,Life Expectancy at Birth (years),74.685
LVA,2015,17.14,Mean Years of Schooling (years),12.87
LVA,2016,17.15,Expected Years of Schooling (years),16.262
LVA,2016,17.15,Gross National Income Per Capita (2017 PPP$),27470.882
LVA,2016,17.15,Human Development Index (value),0.858
LVA,2016,17.15,Life Expectancy at Birth (years),74.754
LVA,2016,17.15,Mean Years of Schooling (years),12.935
LVA,2017,17.14,Expected Years of Schooling (years),16.474
LVA,2017,17.14,Gross National Income Per Capita (2017 PPP$),28601.628
LVA,2017,17.14,Human Development Index (value),0.863
LVA,2017,17.14,Life Expectancy at Birth (years),74.805
LVA,2017,17.14,Mean Years of Schooling (years),13.059
LVA,2018,14.29,Expected Years of Schooling (years),16.561
LVA,2018,14.29,Gross National Income Per Capita (2017 PPP$),29559.86
LVA,2018,14.29,Human Development Index (value),0.868
LVA,2018,14.29,Life Expectancy at Birth (years),75.001
LVA,2018,14.29,Mean Years of Schooling (years),13.183
LVA,2019,16.06,Expected Years of Schooling (years),16.542
LVA,2019,16.06,Gross National Income Per Capita (2017 PPP$),30569.806
LVA,2019,16.06,Human Development Index (value),0.873
LVA,2019,16.06,Life Expectancy at Birth (years),75.534
LVA,2019,16.06,Mean Years of Schooling (years),13.253
MAR,2000,10.85,Expected Years of Schooling (years),8.563
MAR,2000,10.85,Gross National Income Per Capita (2017 PPP$),4677.171
MAR,2000,10.85,Human Development Index (value),0.525
MAR,2000,10.85,Life Expectancy at Birth (years),66.787
MAR,2000,10.85,Mean Years of Schooling (years),3.26
MAR,2001,10.75,Expected Years of Schooling (years),8.933
MAR,2001,10.75,Gross National Income Per Capita (2017 PPP$),4978.099
MAR,2001,10.75,Human Development Index (value),0.536
MAR,2001,10.75,Life Expectancy at Birth (years),67.18
MAR,2001,10.75,Mean Years of Schooling (years),3.366
MAR,2002,10.38,Expected Years of Schooling (years),9.365
MAR,2002,10.38,Gross National Income Per Capita (2017 PPP$),5113.146
MAR,2002,10.38,Human Development Index (value),0.547
MAR,2002,10.38,Life Expectancy at Birth (years),67.547
MAR,2002,10.38,Mean Years of Schooling (years),3.472
MAR,2003,10.34,Expected Years of Schooling (years),9.695
MAR,2003,10.34,Gross National Income Per Capita (2017 PPP$),5371.905
MAR,2003,10.34,Human Development Index (value),0.557
MAR,2003,10.34,Life Expectancy at Birth (years),67.915
MAR,2003,10.34,Mean Years of Schooling (years),3.578
MAR,2004,10.21,Expected Years of Schooling (years),9.891
MAR,2004,10.21,Gross National Income Per Capita (2017 PPP$),5567.895
MAR,2004,10.21,Human Development Index (value),0.564
MAR,2004,10.21,Life Expectancy at Birth (years),68.231
MAR,2004,10.21,Mean Years of Schooling (years),3.684
MAR,2005,10.05,Expected Years of Schooling (years),10.013
MAR,2005,10.05,Gross National Income Per Capita (2017 PPP$),5699.209
MAR,2005,10.05,Human Development Index (value),0.57
MAR,2005,10.05,Life Expectancy at Birth (years),68.704
MAR,2005,10.05,Mean Years of Schooling (years),3.79
MAR,2006,9.87,Expected Years of Schooling (years),10.018
MAR,2006,9.87,Gross National Income Per Capita (2017 PPP$),6054.888
MAR,2006,9.87,Human Development Index (value),0.576
MAR,2006,9.87,Life Expectancy at Birth (years),69.128
MAR,2006,9.87,Mean Years of Schooling (years),3.88
MAR,2007,9.86,Expected Years of Schooling (years),10.228
MAR,2007,9.86,Gross National Income Per Capita (2017 PPP$),6193.031
MAR,2007,9.86,Human Development Index (value),0.583
MAR,2007,9.86,Life Expectancy at Birth (years),69.604
MAR,2007,9.86,Mean Years of Schooling (years),3.97
MAR,2008,9.76,Expected Years of Schooling (years),10.363
MAR,2008,9.76,Gross National Income Per Capita (2017 PPP$),6469.062
MAR,2008,9.76,Human Development Index (value),0.59
MAR,2008,9.76,Life Expectancy at Birth (years),70.048
MAR,2008,9.76,Mean Years of Schooling (years),4.06
MAR,2009,9.66,Expected Years of Schooling (years),10.532
MAR,2009,9.66,Gross National Income Per Capita (2017 PPP$),6544.93
MAR,2009,9.66,Human Development Index (value),0.596
MAR,2009,9.66,Life Expectancy at Birth (years),70.458
MAR,2009,9.66,Mean Years of Schooling (years),4.15
MAR,2010,9.53,Expected Years of Schooling (years),10.914
MAR,2010,9.53,Gross National Income Per Capita (2017 PPP$),6684.601
MAR,2010,9.53,Human Development Index (value),0.604
MAR,2010,9.53,Life Expectancy at Birth (years),70.829
MAR,2010,9.53,Mean Years of Schooling (years),4.24
MAR,2011,9.49,Expected Years of Schooling (years),11.287
MAR,2011,9.49,Gross National Income Per Capita (2017 PPP$),6937.934
MAR,2011,9.49,Human Development Index (value),0.616
MAR,2011,9.49,Life Expectancy at Birth (years),71.269
MAR,2011,9.49,Mean Years of Schooling (years),4.468
MAR,2012,9.15,Expected Years of Schooling (years),11.629
MAR,2012,9.15,Gross National Income Per Capita (2017 PPP$),7029.494
MAR,2012,9.15,Human Development Index (value),0.626
MAR,2012,9.15,Life Expectancy at Birth (years),71.679
MAR,2012,9.15,Mean Years of Schooling (years),4.696
MAR,2013,8.24,Expected Years of Schooling (years),11.953
MAR,2013,8.24,Gross National Income Per Capita (2017 PPP$),7266.278
MAR,2013,8.24,Human Development Index (value),0.636
MAR,2013,8.24,Life Expectancy at Birth (years),72.122
MAR,2013,8.24,Mean Years of Schooling (years),4.924
MAR,2014,7.9,Expected Years of Schooling (years),12.277
MAR,2014,7.9,Gross National Income Per Capita (2017 PPP$),7315.503
MAR,2014,7.9,Human Development Index (value),0.645
MAR,2014,7.9,Life Expectancy at Birth (years),72.538
MAR,2014,7.9,Mean Years of Schooling (years),5.152
MAR,2015,7.63,Expected Years of Schooling (years),12.601
MAR,2015,7.63,Gross National Income Per Capita (2017 PPP$),7568.452
MAR,2015,7.63,Human Development Index (value),0.656
MAR,2015,7.63,Life Expectancy at Birth (years),72.92
MAR,2015,7.63,Mean Years of Schooling (years),5.38
MAR,2016,7.41,Expected Years of Schooling (years),12.926
MAR,2016,7.41,Gross National Income Per Capita (2017 PPP$),7525.548
MAR,2016,7.41,Human Development Index (value),0.662
MAR,2016,7.41,Life Expectancy at Birth (years),73.284
MAR,2016,7.41,Mean Years of Schooling (years),5.514
MAR,2017,7.27,Expected Years of Schooling (years),13.25
MAR,2017,7.27,Gross National Income Per Capita (2017 PPP$),7799.584
MAR,2017,7.27,Human Development Index (value),0.671
MAR,2017,7.27,Life Expectancy at Birth (years),73.66
MAR,2017,7.27,Mean Years of Schooling (years),5.648
MAR,2018,7.3,Expected Years of Schooling (years),13.45
MAR,2018,7.3,Gross National Income Per Capita (2017 PPP$),7950.918
MAR,2018,7.3,Human Development Index (value),0.677
MAR,2018,7.3,Life Expectancy at Birth (years),73.986
MAR,2018,7.3,Mean Years of Schooling (years),5.782
MAR,2019,7.29,Expected Years of Schooling (years),13.702
MAR,2019,7.29,Gross National Income Per Capita (2017 PPP$),8093.259
MAR,2019,7.29,Human Development Index (value),0.684
MAR,2019,7.29,Life Expectancy at Birth (years),74.27
MAR,2019,7.29,Mean Years of Schooling (years),5.916
MDA,2000,16.32,Expected Years of Schooling (years),11.398
MDA,2000,16.32,Gross National Income Per Capita (2017 PPP$),5234.577
MDA,2000,16.32,Human Development Index (value),0.655
MDA,2000,16.32,Life Expectancy at Birth (years),66.417
MDA,2000,16.32,Mean Years of Schooling (years),10.274
MDA,2001,17.68,Expected Years of Schooling (years),11.328
MDA,2001,17.68,Gross National Income Per Capita (2017 PPP$),5695.23
MDA,2001,17.68,Human Development Index (value),0.662
MDA,2001,17.68,Life Expectancy at Birth (years),66.787
MDA,2001,17.68,Mean Years of Schooling (years),10.378
MDA,2002,16.59,Expected Years of Schooling (years),11.544
MDA,2002,16.59,Gross National Income Per Capita (2017 PPP$),6284.208
MDA,2002,16.59,Human Development Index (value),0.671
MDA,2002,16.59,Life Expectancy at Birth (years),66.938
MDA,2002,16.59,Mean Years of Schooling (years),10.482
MDA,2003,17.13,Expected Years of Schooling (years),11.737
MDA,2003,17.13,Gross National Income Per Capita (2017 PPP$),6821.161
MDA,2003,17.13,Human Development Index (value),0.681
MDA,2003,17.13,Life Expectancy at Birth (years),67.419
MDA,2003,17.13,Mean Years of Schooling (years),10.585
MDA,2004,16.57,Expected Years of Schooling (years),11.933
MDA,2004,16.57,Gross National Income Per Capita (2017 PPP$),7459.797
MDA,2004,16.57,Human Development Index (value),0.691
MDA,2004,16.57,Life Expectancy at Birth (years),67.861
MDA,2004,16.57,Mean Years of Schooling (years),10.689
MDA,2005,17.06,Expected Years of Schooling (years),11.991
MDA,2005,17.06,Gross National Income Per Capita (2017 PPP$),8016.722
MDA,2005,17.06,Human Development Index (value),0.698
MDA,2005,17.06,Life Expectancy at Birth (years),68.169
MDA,2005,17.06,Mean Years of Schooling (years),10.793
MDA,2006,17.51,Expected Years of Schooling (years),12.175
MDA,2006,17.51,Gross National Income Per Capita (2017 PPP$),8302.753
MDA,2006,17.51,Human Development Index (value),0.706
MDA,2006,17.51,Life Expectancy at Birth (years),68.479
MDA,2006,17.51,Mean Years of Schooling (years),11.039
MDA,2007,15.28,Expected Years of Schooling (years),12.14
MDA,2007,15.28,Gross National Income Per Capita (2017 PPP$),8404.98
MDA,2007,15.28,Human Development Index (value),0.711
MDA,2007,15.28,Life Expectancy at Birth (years),68.947
MDA,2007,15.28,Mean Years of Schooling (years),11.285
MDA,2008,16.84,Expected Years of Schooling (years),12.066
MDA,2008,16.84,Gross National Income Per Capita (2017 PPP$),9097.218
MDA,2008,16.84,Human Development Index (value),0.718
MDA,2008,16.84,Life Expectancy at Birth (years),69.394
MDA,2008,16.84,Mean Years of Schooling (years),11.382
MDA,2009,17.07,Expected Years of Schooling (years),11.928
MDA,2009,17.07,Gross National Income Per Capita (2017 PPP$),8271.048
MDA,2009,17.07,Human Development Index (value),0.713
MDA,2009,17.07,Life Expectancy at Birth (years),69.573
MDA,2009,17.07,Mean Years of Schooling (years),11.477
MDA,2010,17.64,Expected Years of Schooling (years),11.84
MDA,2010,17.64,Gross National Income Per Capita (2017 PPP$),9022.111
MDA,2010,17.64,Human Development Index (value),0.716
MDA,2010,17.64,Life Expectancy at Birth (years),69.357
MDA,2010,17.64,Mean Years of Schooling (years),11.489
MDA,2011,13.25,Expected Years of Schooling (years),11.85
MDA,2011,13.25,Gross National Income Per Capita (2017 PPP$),9527.408
MDA,2011,13.25,Human Development Index (value),0.719
MDA,2011,13.25,Life Expectancy at Birth (years),69.192
MDA,2011,13.25,Mean Years of Schooling (years),11.556
MDA,2012,14.61,Expected Years of Schooling (years),11.84
MDA,2012,14.61,Gross National Income Per Capita (2017 PPP$),9694.758
MDA,2012,14.61,Human Development Index (value),0.722
MDA,2012,14.61,Life Expectancy at Birth (years),69.143
MDA,2012,14.61,Mean Years of Schooling (years),11.703
MDA,2013,14.4,Expected Years of Schooling (years),11.868
MDA,2013,14.4,Gross National Income Per Capita (2017 PPP$),10580.406
MDA,2013,14.4,Human Development Index (value),0.726
MDA,2013,14.4,Life Expectancy at Birth (years),69.099
MDA,2013,14.4,Mean Years of Schooling (years),11.692
MDA,2014,14.47,Expected Years of Schooling (years),14.097
MDA,2014,14.47,Gross National Income Per Capita (2017 PPP$),11053.905
MDA,2014,14.47,Human Development Index (value),0.749
MDA,2014,14.47,Life Expectancy at Birth (years),69.031
MDA,2014,14.47,Mean Years of Schooling (years),11.761
MDA,2015,13.68,Expected Years of Schooling (years),14.061
MDA,2015,13.68,Gross National Income Per Capita (2017 PPP$),10807.279
MDA,2015,13.68,Human Development Index (value),0.749
MDA,2015,13.68,Life Expectancy at Birth (years),69.24
MDA,2015,13.68,Mean Years of Schooling (years),11.765
MDA,2016,13.42,Expected Years of Schooling (years),14.079
MDA,2016,13.42,Gross National Income Per Capita (2017 PPP$),11438.707
MDA,2016,13.42,Human Development Index (value),0.755
MDA,2016,13.42,Life Expectancy at Birth (years),69.917
MDA,2016,13.42,Mean Years of Schooling (years),11.792
MDA,2017,12.44,Expected Years of Schooling (years),14.292
MDA,2017,12.44,Gross National Income Per Capita (2017 PPP$),12133.429
MDA,2017,12.44,Human Development Index (value),0.764
MDA,2017,12.44,Life Expectancy at Birth (years),70.516
MDA,2017,12.44,Mean Years of Schooling (years),11.819
MDA,2018,11.88,Expected Years of Schooling (years),14.388
MDA,2018,11.88,Gross National Income Per Capita (2017 PPP$),12720.153
MDA,2018,11.88,Human Development Index (value),0.767
MDA,2018,11.88,Life Expectancy at Birth (years),70.492
MDA,2018,11.88,Mean Years of Schooling (years),11.846
MDA,2019,12.17,Expected Years of Schooling (years),14.473
MDA,2019,12.17,Gross National Income Per Capita (2017 PPP$),13450.201
MDA,2019,12.17,Human Development Index (value),0.773
MDA,2019,12.17,Life Expectancy at Birth (years),70.935
MDA,2019,12.17,Mean Years of Schooling (years),11.822
MDG,2000,10.75,Expected Years of Schooling (years),7.824
MDG,2000,10.75,Gross National Income Per Capita (2017 PPP$),1539.727
MDG,2000,10.75,Human Development Index (value),0.438
MDG,2000,10.75,Life Expectancy at Birth (years),57.938
MDG,2000,10.75,Mean Years of Schooling (years),3.903
MDG,2001,10.56,Expected Years of Schooling (years),7.999
MDG,2001,10.56,Gross National Income Per Capita (2017 PPP$),1586.596
MDG,2001,10.56,Human Development Index (value),0.445
MDG,2001,10.56,Life Expectancy at Birth (years),58.57
MDG,2001,10.56,Mean Years of Schooling (years),4.035
MDG,2002,10.78,Expected Years of Schooling (years),8.174
MDG,2002,10.78,Gross National Income Per Capita (2017 PPP$),1349.74
MDG,2002,10.78,Human Development Index (value),0.442
MDG,2002,10.78,Life Expectancy at Birth (years),58.892
MDG,2002,10.78,Mean Years of Schooling (years),4.167
MDG,2003,10.98,Expected Years of Schooling (years),8.35
MDG,2003,10.98,Gross National Income Per Capita (2017 PPP$),1439.524
MDG,2003,10.98,Human Development Index (value),0.451
MDG,2003,10.98,Life Expectancy at Birth (years),59.491
MDG,2003,10.98,Mean Years of Schooling (years),4.298
MDG,2004,10.95,Expected Years of Schooling (years),8.525
MDG,2004,10.95,Gross National Income Per Capita (2017 PPP$),1476.594
MDG,2004,10.95,Human Development Index (value),0.459
MDG,2004,10.95,Life Expectancy at Birth (years),60.149
MDG,2004,10.95,Mean Years of Schooling (years),4.43
MDG,2005,10.68,Expected Years of Schooling (years),8.7
MDG,2005,10.68,Gross National Income Per Capita (2017 PPP$),1492.357
MDG,2005,10.68,Human Development Index (value),0.464
MDG,2005,10.68,Life Expectancy at Birth (years),60.57
MDG,2005,10.68,Mean Years of Schooling (years),4.476
MDG,2006,10.61,Expected Years of Schooling (years),8.782
MDG,2006,10.61,Gross National Income Per Capita (2017 PPP$),1524.076
MDG,2006,10.61,Human Development Index (value),0.469
MDG,2006,10.61,Life Expectancy at Birth (years),61.315
MDG,2006,10.61,Mean Years of Schooling (years),4.522
MDG,2007,10.38,Expected Years of Schooling (years),9.072
MDG,2007,10.38,Gross National Income Per Capita (2017 PPP$),1585.973
MDG,2007,10.38,Human Development Index (value),0.477
MDG,2007,10.38,Life Expectancy at Birth (years),61.757
MDG,2007,10.38,Mean Years of Schooling (years),4.568
MDG,2008,10.3,Expected Years of Schooling (years),9.418
MDG,2008,10.3,Gross National Income Per Capita (2017 PPP$),1644.942
MDG,2008,10.3,Human Development Index (value),0.485
MDG,2008,10.3,Life Expectancy at Birth (years),62.142
MDG,2008,10.3,Mean Years of Schooling (years),4.614
MDG,2009,10.21,Expected Years of Schooling (years),9.908
MDG,2009,10.21,Gross National Income Per Capita (2017 PPP$),1525.699
MDG,2009,10.21,Human Development Index (value),0.488
MDG,2009,10.21,Life Expectancy at Birth (years),62.734
MDG,2009,10.21,Mean Years of Schooling (years),4.66
MDG,2010,10.18,Expected Years of Schooling (years),9.912
MDG,2010,10.18,Gross National Income Per Capita (2017 PPP$),1486.928
MDG,2010,10.18,Human Development Index (value),0.488
MDG,2010,10.18,Life Expectancy at Birth (years),62.873
MDG,2010,10.18,Mean Years of Schooling (years),4.706
MDG,2011,10.15,Expected Years of Schooling (years),9.916
MDG,2011,10.15,Gross National Income Per Capita (2017 PPP$),1467.543
MDG,2011,10.15,Human Development Index (value),0.49
MDG,2011,10.15,Life Expectancy at Birth (years),63.494
MDG,2011,10.15,Mean Years of Schooling (years),4.752
MDG,2012,9.89,Expected Years of Schooling (years),10.088
MDG,2012,9.89,Gross National Income Per Capita (2017 PPP$),1449.111
MDG,2012,9.89,Human Development Index (value),0.492
MDG,2012,9.89,Life Expectancy at Birth (years),63.544
MDG,2012,9.89,Mean Years of Schooling (years),4.798
MDG,2013,9.79,Expected Years of Schooling (years),10.146
MDG,2013,9.79,Gross National Income Per Capita (2017 PPP$),1439.944
MDG,2013,9.79,Human Development Index (value),0.494
MDG,2013,9.79,Life Expectancy at Birth (years),63.962
MDG,2013,9.79,Mean Years of Schooling (years),4.844
MDG,2014,9.79,Expected Years of Schooling (years),10.203
MDG,2014,9.79,Gross National Income Per Capita (2017 PPP$),1460.25
MDG,2014,9.79,Human Development Index (value),0.497
MDG,2014,9.79,Life Expectancy at Birth (years),64.255
MDG,2014,9.79,Mean Years of Schooling (years),4.889
MDG,2015,9.53,Expected Years of Schooling (years),10.314
MDG,2015,9.53,Gross National Income Per Capita (2017 PPP$),1450.169
MDG,2015,9.53,Human Development Index (value),0.499
MDG,2015,9.53,Life Expectancy at Birth (years),64.339
MDG,2015,9.53,Mean Years of Schooling (years),4.935
MDG,2016,9.47,Expected Years of Schooling (years),10.138
MDG,2016,9.47,Gross National Income Per Capita (2017 PPP$),1464.427
MDG,2016,9.47,Human Development Index (value),0.501
MDG,2016,9.47,Life Expectancy at Birth (years),64.997
MDG,2016,9.47,Mean Years of Schooling (years),4.981
MDG,2017,9.33,Expected Years of Schooling (years),10.009
MDG,2017,9.33,Gross National Income Per Capita (2017 PPP$),1499.247
MDG,2017,9.33,Human Development Index (value),0.502
MDG,2017,9.33,Life Expectancy at Birth (years),65.094
MDG,2017,9.33,Mean Years of Schooling (years),5.027
MDG,2018,9.24,Expected Years of Schooling (years),9.88
MDG,2018,9.24,Gross National Income Per Capita (2017 PPP$),1503.65
MDG,2018,9.24,Human Development Index (value),0.502
MDG,2018,9.24,Life Expectancy at Birth (years),65.27
MDG,2018,9.24,Mean Years of Schooling (years),5.073
MDG,2019,9.18,Expected Years of Schooling (years),9.37
MDG,2019,9.18,Gross National Income Per Capita (2017 PPP$),1530.057
MDG,2019,9.18,Human Development Index (value),0.498
MDG,2019,9.18,Life Expectancy at Birth (years),65.882
MDG,2019,9.18,Mean Years of Schooling (years),4.913
MDV,2000,5.3,Expected Years of Schooling (years),11.833
MDV,2000,5.3,Gross National Income Per Capita (2017 PPP$),13052.919
MDV,2000,5.3,Human Development Index (value),0.635
MDV,2000,5.3,Life Expectancy at Birth (years),70.876
MDV,2000,5.3,Mean Years of Schooling (years),3.465
MDV,2001,5.08,Expected Years of Schooling (years),11.965
MDV,2001,5.08,Gross National Income Per Capita (2017 PPP$),12280.064
MDV,2001,5.08,Human Development Index (value),0.639
MDV,2001,5.08,Life Expectancy at Birth (years),72.181
MDV,2001,5.08,Mean Years of Schooling (years),3.47
MDV,2002,4.69,Expected Years of Schooling (years),11.621
MDV,2002,4.69,Gross National Income Per Capita (2017 PPP$),13142.894
MDV,2002,4.69,Human Development Index (value),0.642
MDV,2002,4.69,Life Expectancy at Birth (years),73.291
MDV,2002,4.69,Mean Years of Schooling (years),3.474
MDV,2003,4.55,Expected Years of Schooling (years),12.02
MDV,2003,4.55,Gross National Income Per Capita (2017 PPP$),14543.146
MDV,2003,4.55,Human Development Index (value),0.655
MDV,2003,4.55,Life Expectancy at Birth (years),74.06
MDV,2003,4.55,Mean Years of Schooling (years),3.479
MDV,2004,3.83,Expected Years of Schooling (years),12.029
MDV,2004,3.83,Gross National Income Per Capita (2017 PPP$),15287.207
MDV,2004,3.83,Human Development Index (value),0.656
MDV,2004,3.83,Life Expectancy at Birth (years),73.538
MDV,2004,3.83,Mean Years of Schooling (years),3.484
MDV,2005,3.83,Expected Years of Schooling (years),12.038
MDV,2005,3.83,Gross National Income Per Capita (2017 PPP$),13382.377
MDV,2005,3.83,Human Development Index (value),0.655
MDV,2005,3.83,Life Expectancy at Birth (years),74.751
MDV,2005,3.83,Mean Years of Schooling (years),3.488
MDV,2006,3.77,Expected Years of Schooling (years),12.048
MDV,2006,3.77,Gross National Income Per Capita (2017 PPP$),16391.408
MDV,2006,3.77,Human Development Index (value),0.67
MDV,2006,3.77,Life Expectancy at Birth (years),75.13
MDV,2006,3.77,Mean Years of Schooling (years),3.786
MDV,2007,3.57,Expected Years of Schooling (years),12.057
MDV,2007,3.57,Gross National Income Per Capita (2017 PPP$),14162.428
MDV,2007,3.57,Human Development Index (value),0.67
MDV,2007,3.57,Life Expectancy at Birth (years),75.686
MDV,2007,3.57,Mean Years of Schooling (years),4.058
MDV,2008,3.49,Expected Years of Schooling (years),12.066
MDV,2008,3.49,Gross National Income Per Capita (2017 PPP$),15423.819
MDV,2008,3.49,Human Development Index (value),0.682
MDV,2008,3.49,Life Expectancy at Birth (years),76.543
MDV,2008,3.49,Mean Years of Schooling (years),4.331
MDV,2009,3.29,Expected Years of Schooling (years),12.076
MDV,2009,3.29,Gross National Income Per Capita (2017 PPP$),14050.924
MDV,2009,3.29,Human Development Index (value),0.684
MDV,2009,3.29,Life Expectancy at Birth (years),77.069
MDV,2009,3.29,Mean Years of Schooling (years),4.604
MDV,2010,3.05,Expected Years of Schooling (years),12.085
MDV,2010,3.05,Gross National Income Per Capita (2017 PPP$),14363.236
MDV,2010,3.05,Human Development Index (value),0.692
MDV,2010,3.05,Life Expectancy at Birth (years),77.657
MDV,2010,3.05,Mean Years of Schooling (years),4.876
MDV,2011,2.88,Expected Years of Schooling (years),12.094
MDV,2011,2.88,Gross National Income Per Capita (2017 PPP$),15300.314
MDV,2011,2.88,Human Development Index (value),0.701
MDV,2011,2.88,Life Expectancy at Birth (years),78.124
MDV,2011,2.88,Mean Years of Schooling (years),5.149
MDV,2012,2.88,Expected Years of Schooling (years),12.103
MDV,2012,2.88,Gross National Income Per Capita (2017 PPP$),15355.441
MDV,2012,2.88,Human Development Index (value),0.708
MDV,2012,2.88,Life Expectancy at Birth (years),78.682
MDV,2012,2.88,Mean Years of Schooling (years),5.422
MDV,2013,2.8,Expected Years of Schooling (years),12.113
MDV,2013,2.8,Gross National Income Per Capita (2017 PPP$),15648.367
MDV,2013,2.8,Human Development Index (value),0.715
MDV,2013,2.8,Life Expectancy at Birth (years),79.057
MDV,2013,2.8,Mean Years of Schooling (years),5.694
MDV,2014,2.88,Expected Years of Schooling (years),12.122
MDV,2014,2.88,Gross National Income Per Capita (2017 PPP$),16410.164
MDV,2014,2.88,Human Development Index (value),0.723
MDV,2014,2.88,Life Expectancy at Birth (years),79.424
MDV,2014,2.88,Mean Years of Schooling (years),5.967
MDV,2015,2.95,Expected Years of Schooling (years),12.131
MDV,2015,2.95,Gross National Income Per Capita (2017 PPP$),16414.93
MDV,2015,2.95,Human Development Index (value),0.728
MDV,2015,2.95,Life Expectancy at Birth (years),79.695
MDV,2015,2.95,Mean Years of Schooling (years),6.24
MDV,2016,3.15,Expected Years of Schooling (years),12.141
MDV,2016,3.15,Gross National Income Per Capita (2017 PPP$),16911.454
MDV,2016,3.15,Human Development Index (value),0.734
MDV,2016,3.15,Life Expectancy at Birth (years),79.872
MDV,2016,3.15,Mean Years of Schooling (years),6.512
MDV,2017,3.11,Expected Years of Schooling (years),12.15
MDV,2017,3.11,Gross National Income Per Capita (2017 PPP$),17474.642
MDV,2017,3.11,Human Development Index (value),0.74
MDV,2017,3.11,Life Expectancy at Birth (years),79.943
MDV,2017,3.11,Mean Years of Schooling (years),6.785
MDV,2018,2.92,Expected Years of Schooling (years),12.159
MDV,2018,2.92,Gross National Income Per Capita (2017 PPP$),18055.725
MDV,2018,2.92,Human Development Index (value),0.747
MDV,2018,2.92,Life Expectancy at Birth (years),80.013
MDV,2018,2.92,Mean Years of Schooling (years),7.096
MDV,2019,2.76,Expected Years of Schooling (years),12.169
MDV,2019,2.76,Gross National Income Per Capita (2017 PPP$),18679.925
